Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBgn0283658	3020	1219	1308	1361	599	719	1521	1905	1864	694	838	881	1283.83	1763	804	0.456	-1.134	-7.603	2.89231579497955e-14	3.62843053322294e-12	0.0147	0.0153	0.0151	0.0151	TRUE	0.1822
FBgn0039257	1641	475	476	694	247	309	827	742	678	354	345	379	554.2	749	359	0.478	-1.065	-7.465	8.33922616449074e-14	9.77335361146303e-12	0.0052	0.0185	0.0125	0.0125	TRUE	0.1047
FBgn0037239	1886	603	712	976	385	421	950	942	1015	498	538	516	743.17	969	517	0.533	-0.907	-7.401	1.35633856509679e-13	1.52922881004014e-11	0	0.0171	0.0093	0.0093	TRUE	0.0194
FBgn0262057	1981	566	664	1005	319	394	998	885	946	512	446	483	711.67	943	480	0.51	-0.97	-7.399	1.37650405943151e-13	1.53256520716956e-11	0.003	0.0173	0.0107	0.0107	TRUE	0.0433
FBgn0036684	2599	852	820	1349	498	556	1309	1332	1168	688	697	681	979.14	1270	689	0.542	-0.884	-7.36	1.84234953100949e-13	2.02590213243229e-11	0.0016	0.0161	0.0092	0.0092	TRUE	0.0563
FBgn0031449	2310	789	824	1188	463	558	1163	1233	1174	606	648	684	917.99	1190	646	0.542	-0.884	-7.342	2.10521962242171e-13	2.26354972646101e-11	0.0013	0.0163	0.0092	0.0092	TRUE	0.0385
FBgn0053307	3608	742	989	1277	301	374	1817	1160	1409	651	421	458	986.11	1462	510	0.35	-1.515	-7.342	2.10929187488788e-13	2.26354972646101e-11	0.0531	0.016	0.0293	0.0293	TRUE	0.2242
FBgn0040388	3504	1183	1095	1864	680	744	1765	1849	1560	951	951	912	1331.24	1725	938	0.544	-0.879	-7.308	2.7042468322036e-13	2.86746744457588e-11	0.0032	0.0152	0.0095	0.0095	TRUE	0.0813
FBgn0031359	1680	569	572	879	330	369	846	889	815	448	462	452	652.08	850	454	0.534	-0.906	-7.288	3.15057657382917e-13	3.30143359330546e-11	0	0.0177	0.0093	0.0093	TRUE	0.0176
FBgn0031322	1036	346	438	303	137	215	522	541	624	155	192	264	382.71	562	204	0.359	-1.479	-7.227	4.93318509293133e-13	5.10928832822551e-11	0.0369	0.0211	0.0266	0.0266	TRUE	0.7275
FBgn0263873	2187	778	701	1071	429	393	1102	1216	999	546	600	482	824.01	1106	543	0.491	-1.027	-7.191	6.41820900623014e-13	6.49624859301044e-11	0.0087	0.0167	0.0132	0.0132	TRUE	0.1058
FBgn0051337	2497	732	1014	1106	410	574	1258	1144	1445	564	573	704	947.91	1282	614	0.478	-1.065	-7.119	1.08536455956612e-12	1.08621821708488e-10	0.0133	0.0162	0.0148	0.0148	TRUE	0.1891
FBgn0063498	812	271	263	377	100	136	409	424	375	192	140	167	284.34	403	166	0.418	-1.259	-7.111	1.15520472434648e-12	1.14326760886157e-10	0.0087	0.0239	0.0182	0.0182	TRUE	0.2335
FBgn0033782	485	155	181	145	59	90	244	242	258	74	83	110	168.53	248	89	0.354	-1.499	-7.063	1.62695649277918e-12	1.54162781714725e-10	0.0106	0.0315	0.0245	0.0245	TRUE	0.3993
FBgn0043841	38255	11103	13900	21948	7743	9576	19268	17352	19806	11192	10830	11737	15030.76	18809	11253	0.598	-0.741	-7.03	2.06726286015064e-12	1.91803232243351e-10	0.0031	0.0131	0.0079	0.0079	TRUE	0.0559
FBgn0027596	1934	744	699	981	423	422	974	1163	996	500	592	517	790.32	1044	536	0.513	-0.963	-6.885	5.77843643450885e-12	5.09589438833369e-10	0.0069	0.0168	0.0126	0.0126	TRUE	0.1139
FBgn0029801	4096	1221	1193	1958	735	900	2063	1908	1700	998	1028	1103	1466.78	1890	1043	0.551	-0.861	-6.864	6.68885428578084e-12	5.84094363955391e-10	0.0056	0.015	0.0105	0.0105	TRUE	0.0932
FBgn0039640	226	73	82	64	24	22	114	114	117	33	34	27	72.99	115	31	0.272	-1.879	-6.855	7.14523409693355e-12	6.1788932137269e-10	0	0.056	0.0339	0.0339	TRUE	0.0696
FBgn0036896	1771	557	527	908	295	346	892	870	751	463	413	424	635.52	838	433	0.518	-0.949	-6.843	7.74004055222332e-12	6.56576582844316e-10	0.0049	0.0178	0.012	0.012	TRUE	0.0948
FBgn0033504	5240	1914	1758	2958	1103	1315	2639	2991	2505	1508	1543	1612	2133.04	2712	1554	0.573	-0.803	-6.818	9.23939669443664e-12	7.76370814691954e-10	0.0041	0.0143	0.0094	0.0094	TRUE	0.0962
FBgn0026376	4377	1257	1096	2000	589	687	2205	1964	1562	1020	824	842	1402.73	1910	895	0.469	-1.092	-6.783	1.18063323610364e-11	9.73694466108807e-10	0.0205	0.0151	0.0178	0.0178	TRUE	0.2081
FBgn0031805	7503	2761	2970	3408	1613	1908	3779	4315	4232	1738	2256	2339	3109.72	4109	2111	0.513	-0.962	-6.737	1.61493768608899e-11	1.31965596054996e-09	0.0138	0.0139	0.0143	0.0143	TRUE	0.2969
FBgn0036373	10187	3949	3662	3750	2046	2277	5131	6172	5218	1912	2862	2791	4014.19	5507	2522	0.457	-1.128	-6.732	1.67130583841154e-11	1.35330191843014e-09	0.0271	0.0136	0.0199	0.0199	TRUE	0.5517
FBgn0261560	5324	1278	1600	2285	834	1054	2682	1997	2280	1165	1166	1292	1763.69	2320	1208	0.52	-0.944	-6.71	1.94655427053319e-11	1.54803204353921e-09	0.0119	0.0146	0.0136	0.0136	TRUE	0.1784
FBgn0033426	977	287	355	464	157	212	492	449	506	237	220	260	360.41	482	239	0.495	-1.016	-6.683	2.34820488478889e-11	1.85092574414289e-09	5e-04	0.0216	0.0134	0.0134	TRUE	0.0585
FBgn0004369	2167	777	733	1266	437	508	1091	1214	1044	646	611	623	871.6	1116	627	0.562	-0.831	-6.67	2.55843039874953e-11	1.99894206681246e-09	0.0022	0.0165	0.0099	0.0099	TRUE	0.0661
FBgn0037646	161	32	47	15	5	10	81	50	67	8	7	12	37.49	66	9	0.131	-2.929	-6.658	2.77953190834705e-11	2.1342491989351e-09	0	0.0968	0.0773	0.0773	TRUE	0.1075
FBgn0000567	676	262	232	338	108	108	340	409	331	172	151	132	256.05	360	152	0.427	-1.229	-6.654	2.85763050249608e-11	2.17546281074637e-09	0.0111	0.0251	0.0197	0.0197	TRUE	0.1776
FBgn0002868	393	73	91	86	21	27	198	114	130	44	29	33	91.34	147	35	0.243	-2.039	-6.567	5.11912135781446e-11	3.83159780958432e-09	0.0601	0.0473	0.052	0.052	TRUE	0.8992
FBgn0040752	12944	5164	4092	6729	2740	2872	6519	8070	5831	3431	3832	3520	5200.71	6807	3594	0.528	-0.921	-6.5	8.03828846773572e-11	5.96641961517684e-09	0.0156	0.0134	0.0142	0.0142	TRUE	0.3195
