Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBgn0030871	972	393	476	1260	645	652	490	614	678	643	902	799	687.63	594	781	1.317	0.397	2.223	0.0262281885981563	0.188246958778226	0.0271	0.0174	0.0214	0.0214	TRUE	0.2722
FBgn0030872	735	324	313	891	389	440	370	506	446	454	544	539	476.71	441	512	1.167	0.222	1.328	0.18426819025411	0.577181261023752	0.0158	0.0194	0.0179	0.0179	TRUE	0.2541
FBgn0030873	2935	928	1143	2621	1106	1304	1478	1450	1629	1337	1547	1598	1506.49	1519	1494	0.982	-0.026	-0.206	0.836677262599865	0.964439532912618	0.0059	0.0149	0.0107	0.0107	TRUE	0.1069
FBgn0030874	325	111	151	323	148	169	164	173	215	165	207	207	188.53	184	193	1.047	0.066	0.327	0.743990185216343	0.938364413919912	0.0151	0.0295	0.0238	0.0238	TRUE	0.2186
FBgn0030876	287	60	96	226	85	93	145	94	137	115	119	114	120.54	125	116	0.916	-0.126	-0.542	0.587952515292213	0.885208426928287	0.0151	0.039	0.0305	0.0305	TRUE	0.4075
FBgn0030877	1193	499	543	1305	597	703	601	780	774	665	835	862	752.76	718	787	1.098	0.135	0.817	0.41419137780499	0.80982992510316	0.0196	0.017	0.0181	0.0181	TRUE	0.2594
FBgn0030878	1666	732	750	1558	833	959	839	1144	1069	794	1165	1175	1031.12	1017	1045	1.027	0.039	0.208	0.835303264232952	0.964439532912618	0.0359	0.0159	0.0238	0.0238	TRUE	0.5461
FBgn0030880	6	1	1	6	8	6	3	2	1	3	11	7	4.6	2	7	3.18	1.669	1.566	0.117292169718462	NA	0	0.6971	0.5041	0.5041	TRUE	0.1174
FBgn0030881	11	3	3	11	6	4	6	5	4	6	8	5	5.57	5	6	1.261	0.335	0.391	0.695808955875985	NA	0	0.5784	0.3386	0.3386	TRUE	0.1379
FBgn0030883	378	105	109	340	138	142	190	164	155	173	193	174	175.04	170	180	1.047	0.067	0.353	0.724191000306363	0.932884400606315	0	0.0308	0.0199	0.0199	TRUE	0.1442
FBgn0030884	138	45	45	195	83	89	70	70	64	99	116	109	88.09	68	108	1.579	0.659	2.744	0.00606224007121211	0.0617101397877557	0	0.0486	0.0289	0.0289	TRUE	0.0627
FBgn0030886	43	20	15	31	26	34	22	31	21	16	36	42	28.02	25	31	1.244	0.314	0.658	0.510302421017018	0.857435137520955	0.1248	0.1252	0.1251	0.1251	TRUE	1.9173
FBgn0030887	3	3	1	7	1	1	2	5	1	4	1	1	2.3	3	2	0.918	-0.123	-0.09	0.927897264403896	NA	0	1.3802	0.8759	0.8759	TRUE	0.7696
FBgn0030889	41	2	1	15	4	0	21	3	1	8	6	0	6.41	8	5	0.514	-0.959	-0.824	0.410040242919831	0.808575224640886	1.5387	0.5043	0.8032	0.8032	TRUE	6.9776
FBgn0030890	1910	648	708	2332	809	869	962	1013	1009	1189	1131	1065	1061.55	995	1128	1.137	0.186	1.598	0.110056918563765	0.453412106219915	0.0014	0.0158	0.0087	0.0087	TRUE	0.029
FBgn0030891	968	398	421	984	454	557	488	622	600	502	635	683	588.15	570	607	1.065	0.091	0.534	0.593328519903825	0.887452078385117	0.0201	0.0182	0.019	0.019	TRUE	0.2883
FBgn0030892	781	253	271	645	239	290	393	395	386	329	334	355	365.59	391	339	0.866	-0.208	-1.473	0.140675150008633	0.508424793392538	0	0.0215	0.0115	0.0115	TRUE	0.0185
FBgn0030893	3429	1183	1299	3460	1628	1903	1727	1849	1851	1764	2277	2332	1966.78	1809	2124	1.173	0.231	1.657	0.0975240794275677	0.4202859953695	0.0109	0.0144	0.0134	0.0134	TRUE	0.2737
