Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBtr0073487	3493	233	368	318	158	155	1808	349	518	162	217	192	541.13	892	190	0.277	-1.854	-4.101	4.10645647606052e-05	0.000976835437183272	0.293	0.038	0.1435	0.1435	TRUE	NA
FBtr0078031	4848	1425	1389	3007	1077	1142	2509	2135	1956	1536	1479	1417	1838.57	2200	1477	0.673	-0.57	-4.095	4.22193246683095e-05	0.00100014314556102	0.0035	0.0295	0.0134	0.0134	TRUE	NA
FBtr0083650	2064	515	389	1149	290	289	1068	772	548	587	398	359	621.85	796	448	0.565	-0.824	-4.095	4.22164115156795e-05	0.00100014314556102	0.0191	0.0364	0.0271	0.0271	TRUE	NA
FBtr0113190	89	22	22	12	4	7	46	33	31	6	5	9	21.72	37	7	0.182	-2.461	-4.093	4.25267939705102e-05	0.0010032696607816	0.0147	0.3263	0.1702	0.1702	TRUE	NA
FBtr0076218	295	83	120	113	45	20	153	124	169	58	62	25	98.39	149	48	0.322	-1.637	-4.088	4.3420395273096e-05	0.00102014136894366	0.1122	0.0922	0.1006	0.1006	TRUE	NA
FBtr0080439	1724	626	683	1200	431	377	892	938	962	613	592	468	744.07	931	558	0.599	-0.739	-4.086	4.3794021488322e-05	0.00102751198706732	0.012	0.0347	0.022	0.022	TRUE	NA
FBtr0089448	2280	393	408	1629	202	269	1180	589	575	832	277	334	631.06	781	481	0.584	-0.776	-4.081	4.48467738772199e-05	0.00105077461580355	0.0131	0.0362	0.0237	0.0237	TRUE	NA
FBtr0332148	1954	702	759	972	431	617	1011	1052	1069	496	592	765	830.94	1044	618	0.585	-0.774	-4.076	4.591501478189e-05	0.00107141281431863	0.0172	0.0338	0.0246	0.0246	TRUE	NA
FBtr0082947	5627	1596	935	2752	717	700	2912	2391	1317	1405	985	868	1646.4	2207	1086	0.494	-1.018	-4.073	4.64905799692128e-05	0.0010818995075332	0.0593	0.0299	0.0442	0.0442	TRUE	NA
FBtr0075997	2134	638	615	1235	461	495	1104	956	866	631	633	614	800.71	975	626	0.643	-0.638	-4.055	5.00374495521882e-05	0.00115971932063457	0.0045	0.0341	0.0164	0.0164	TRUE	NA
FBtr0305667	535	211	211	310	116	152	277	316	297	158	159	189	232.72	297	169	0.569	-0.813	-4.053	5.06549205176421e-05	0.00117244607530105	0	0.0539	0.0242	0.0242	TRUE	NA
FBtr0344277	1095	1567	1734	857	735	978	567	2348	2442	438	1009	1213	1336.15	1786	887	0.549	-0.865	-4.044	5.25987776050447e-05	0.00121252907890339	0.0331	0.0308	0.032	0.032	TRUE	NA
FBtr0301504	2817	1079	930	1047	608	804	1458	1617	1310	535	835	997	1125.21	1462	789	0.524	-0.934	-4.042	5.29329029827272e-05	0.00121859358262652	0.043	0.0317	0.0374	0.0374	TRUE	NA
FBtr0084137	4442	1383	1626	2928	964	1269	2299	2072	2290	1495	1324	1574	1842.38	2220	1464	0.66	-0.6	-4.04	5.34596260740932e-05	0.00122906976782409	0.0058	0.0294	0.0153	0.0153	TRUE	NA
FBtr0086797	777	315	348	321	188	264	402	472	490	164	258	328	352.3	455	250	0.531	-0.913	-4.034	5.48285387917133e-05	0.00125885444286034	0.0243	0.0444	0.0337	0.0337	TRUE	NA
FBtr0078815	547	132	99	275	53	68	283	198	139	140	73	84	152.98	207	99	0.478	-1.066	-4.026	5.6663085609621e-05	0.00129923607124413	0.0149	0.0685	0.0416	0.0416	TRUE	NA
FBtr0300822	1301	721	712	988	357	446	673	1080	1003	505	490	553	717.4	919	516	0.575	-0.799	-4.026	5.6815354982957e-05	0.00130098818866848	0.0201	0.035	0.0268	0.0268	TRUE	NA
FBtr0075076	6331	2554	3118	4333	1861	2362	3276	3826	4392	2213	2555	2930	3198.82	3831	2566	0.67	-0.577	-4.025	5.6894582312262e-05	0.00130106530831681	0.007	0.0279	0.0145	0.0145	TRUE	NA
FBtr0075356	476	159	170	267	101	108	246	238	239	136	139	134	188.84	241	136	0.564	-0.826	-4.02	5.82751982649525e-05	0.001327327922234	0	0.0604	0.0244	0.0244	TRUE	NA
FBtr0081254	13980	4626	4844	8223	3683	4028	7235	6930	6823	4199	5057	4997	5873.65	6996	4751	0.677	-0.564	-4.019	5.83784110908215e-05	0.0013279152899452	0.0049	0.027	0.014	0.014	TRUE	NA
FBtr0305620	3696	945	877	2268	686	715	1913	1416	1235	1158	942	887	1258.5	1521	996	0.659	-0.601	-4.005	6.21116444775702e-05	0.00140352676473624	0.0047	0.0311	0.0153	0.0153	TRUE	NA
FBtr0070948	5594	3005	2584	3011	1958	2290	2895	4502	3640	1538	2689	2841	3017.3	3679	2356	0.626	-0.677	-4.003	6.25080590059609e-05	0.00141062594738321	0.0144	0.0281	0.0202	0.0202	TRUE	NA
FBtr0089937	127	44	50	43	10	21	66	66	70	22	14	26	43.97	67	21	0.308	-1.697	-3.995	6.4708555110369e-05	0.00145263930457845	0	0.1743	0.0976	0.0976	TRUE	NA
FBtr0081358	8271	2414	2550	6302	1841	2045	4280	3617	3592	3218	2528	2537	3295.31	3830	2761	0.719	-0.476	-3.993	6.52864453159823e-05	0.00146369650145675	0	0.0279	0.0099	0.0099	TRUE	NA
FBtr0290046	554	207	216	373	114	114	287	310	304	190	157	141	231.59	300	163	0.543	-0.88	-3.987	6.69844891911406e-05	0.00149785003144361	0.0096	0.0541	0.0301	0.0301	TRUE	NA
FBtr0344438	186	116	118	79	70	57	96	174	166	40	96	71	107.24	145	69	0.464	-1.108	-3.983	6.79950403316787e-05	0.00151846736553206	0.0012	0.0867	0.0447	0.0447	TRUE	NA
FBtr0075715	2649	597	603	1848	392	487	1371	894	849	944	538	604	866.8	1038	695	0.667	-0.584	-3.97	7.18164410577812e-05	0.00160172143118596	6e-04	0.0334	0.0142	0.0142	TRUE	NA
FBtr0344849	4652	223	1	1071	1	1	2408	334	1	547	1	1	548.76	914	183	0.025	-5.344	-3.963	7.4102066769391e-05	0.00164414559788076	0	0.0378	1.1674	1.1674	TRUE	NA
FBtr0329997	5075	1305	1108	2470	633	1002	2626	1955	1561	1261	869	1243	1585.96	2047	1124	0.557	-0.844	-3.962	7.43795071284365e-05	0.00164756915455459	0.0337	0.03	0.0319	0.0319	TRUE	NA
FBtr0084598	3470	2147	2388	2160	1721	1964	1796	3217	3364	1103	2363	2436	2379.78	2792	1967	0.689	-0.538	-3.96	7.50337376784021e-05	0.00165838097283798	0.0034	0.0286	0.0129	0.0129	TRUE	NA
FBtr0306016	1275	239	203	707	135	163	660	358	286	361	185	202	342.08	435	249	0.581	-0.783	-3.956	7.61147518487759e-05	0.00168010824833765	0.0064	0.045	0.0242	0.0242	TRUE	NA
