Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBtr0086506	43	24	19	376	81	56	22	36	27	192	111	69	76.28	28	124	4.249	2.087	4.418	9.95068133302144e-06	0.000279777271381395	0.1623	0.1114	0.1357	0.1357	TRUE	NA
FBtr0081882	7449	2992	3338	10105	5157	5867	3855	4482	4702	5160	7081	7278	5426.52	4346	6506	1.484	0.57	4.418	9.97306312722674e-06	0.000279947636162137	0.003	0.0271	0.0118	0.0118	TRUE	NA
FBtr0072712	26	11	7	103	38	52	13	16	10	53	52	65	34.85	13	57	4.228	2.08	4.41	1.03585393920056e-05	0.000290292988745568	0	0.2131	0.1112	0.1112	TRUE	NA
FBtr0084910	100	102	137	226	227	283	52	153	193	115	312	351	195.95	133	259	2.014	1.01	4.399	1.08766810846611e-05	0.000303326759809792	0.0063	0.0592	0.0315	0.0315	TRUE	NA
FBtr0308213	497	118	95	874	321	261	257	177	134	446	441	324	296.45	189	404	2.174	1.12	4.385	1.16155138924668e-05	0.000322358703510839	0.0371	0.0479	0.0425	0.0425	TRUE	NA
FBtr0343443	3737	1831	1797	6079	2654	3325	1934	2743	2531	3104	3644	4125	3013.62	2403	3624	1.516	0.601	4.383	1.17059953693908e-05	0.000323821817065196	0.0041	0.0281	0.0132	0.0132	TRUE	NA
FBtr0082167	560	152	184	928	305	359	290	228	259	474	419	445	352.46	259	446	1.722	0.784	4.379	1.19026288842621e-05	0.000328731059571626	0	0.0444	0.0198	0.0198	TRUE	NA
FBtr0079779	168	50	55	325	122	160	87	75	77	166	168	198	128.55	80	177	2.205	1.141	4.378	1.19992511682271e-05	0.000329278650858022	0	0.0767	0.0392	0.0392	TRUE	NA
FBtr0087369	216	60	65	430	129	157	112	90	92	220	177	195	147.45	98	197	2.017	1.012	4.379	1.19469257647891e-05	0.000329278650858022	0	0.0701	0.0301	0.0301	TRUE	NA
FBtr0334654	13	7	18	83	102	44	7	10	25	42	140	55	46.6	14	79	5.689	2.508	4.378	1.19837917080475e-05	0.000329278650858022	0.2182	0.1659	0.1903	0.1903	TRUE	NA
FBtr0070600	905	310	279	1364	586	617	468	464	393	697	805	765	598.73	442	756	1.703	0.768	4.375	1.21211770943844e-05	0.000331563490184669	0.0075	0.0368	0.0203	0.0203	TRUE	NA
FBtr0301708	392	77	31	1035	245	179	203	115	44	529	336	222	241.48	121	362	3.163	1.661	4.376	1.21032001552042e-05	0.000331563490184669	0.1581	0.0529	0.096	0.096	TRUE	NA
FBtr0088052	206	50	19	560	139	136	107	75	27	286	191	169	142.3	70	215	3.204	1.68	4.375	1.21416558553292e-05	0.00033159480824005	0.1291	0.0717	0.0939	0.0939	TRUE	NA
FBtr0075492	2397	751	910	3500	1401	1772	1241	1125	1282	1787	1924	2198	1592.79	1216	1970	1.615	0.691	4.374	1.22212252895647e-05	0.000333237257458386	0.0083	0.03	0.0173	0.0173	TRUE	NA
FBtr0080837	15203	5569	6603	21688	9290	10809	7868	8343	9301	11075	12757	13409	10458.77	8504	12414	1.457	0.543	4.361	1.29214597486662e-05	0.000350658158464198	0.0025	0.0265	0.0111	0.0111	TRUE	NA
FBtr0089655	564	856	901	1098	1496	1449	292	1282	1269	561	2054	1798	1209.32	948	1471	1.634	0.708	4.36	1.29988130512078e-05	0.000351644546752785	0.0084	0.0313	0.018	0.018	TRUE	NA
FBtr0086613	77	30	23	195	76	88	40	45	32	100	104	109	71.72	39	104	2.661	1.412	4.358	1.31173311124481e-05	0.000354291883322202	0	0.1169	0.0569	0.0569	TRUE	NA
FBtr0086994	110	29	25	405	93	62	57	43	35	207	128	77	91.17	45	137	2.954	1.563	4.356	1.32403648774007e-05	0.00035705266983066	0.0518	0.0975	0.0748	0.0748	TRUE	NA
FBtr0086170	56	26	58	133	138	234	29	39	82	68	189	290	116.22	50	182	3.327	1.734	4.355	1.32953697017407e-05	0.000357973133052675	0.1229	0.082	0.1005	0.1005	TRUE	NA
FBtr0334846	78	24	20	209	60	80	40	36	28	107	82	99	65.48	35	96	2.761	1.465	4.321	1.55098041014554e-05	0.000413056910161586	0	0.1255	0.0614	0.0614	TRUE	NA
FBtr0089978	1424	93	132	2074	366	503	737	139	186	1059	503	624	541.31	354	729	2.557	1.355	4.321	1.55537916842491e-05	0.000413586172366754	0.1021	0.038	0.0673	0.0673	TRUE	NA
FBtr0302578	332	86	64	457	442	505	172	129	90	233	607	626	309.6	130	489	3.522	1.816	4.312	1.6178573614351e-05	0.000428869731158784	0.2211	0.047	0.1227	0.1227	TRUE	NA
FBtr0343506	525	109	147	880	275	283	272	163	207	449	378	351	303.35	214	393	1.845	0.884	4.306	1.66364451080874e-05	0.000439648181893385	0.006	0.0474	0.0262	0.0262	TRUE	NA
FBtr0083765	1017	380	462	2576	697	784	526	569	651	1315	957	973	831.91	582	1082	1.848	0.886	4.3	1.70773659548867e-05	0.000450606005372711	0.0252	0.0337	0.0291	0.0291	TRUE	NA
FBtr0078346	1516	290	147	3912	472	685	785	434	207	1998	648	850	820.27	475	1165	2.407	1.267	4.299	1.71221058240421e-05	0.000451092529935709	0.0935	0.0339	0.0604	0.0604	TRUE	NA
FBtr0100504	15	10	8	64	36	55	8	15	11	33	49	68	30.73	11	50	4.39	2.134	4.297	1.72973866859546e-05	0.000455011470936822	0.0091	0.2382	0.1207	0.1207	TRUE	NA
FBtr0113066	327	99	135	747	212	249	169	148	190	381	291	309	248.19	169	327	1.932	0.95	4.291	1.77760658268876e-05	0.000465461534346487	0.0106	0.0522	0.0304	0.0304	TRUE	NA
FBtr0086675	343	114	133	673	215	337	178	171	187	344	295	418	265.43	179	352	1.972	0.98	4.276	1.90437030644517e-05	0.00049562754363947	0.0184	0.0505	0.0333	0.0333	TRUE	NA
FBtr0331662	1223	84	65	1915	279	233	633	126	92	978	383	289	416.73	284	550	2.411	1.27	4.269	1.96081973073433e-05	0.000509545745482189	0.0776	0.0416	0.0584	0.0584	TRUE	NA
FBtr0100353	707	196	236	1024	463	517	366	294	332	523	636	641	465.33	331	600	1.801	0.849	4.264	2.01184439289973e-05	0.000520439565348766	0.0148	0.0399	0.026	0.026	TRUE	NA
FBtr0290205	101	57	66	200	160	147	52	85	93	102	220	182	122.47	77	168	2.142	1.099	4.258	2.06090894751225e-05	0.000529934772995241	0.0037	0.0792	0.038	0.038	TRUE	NA
FBtr0086281	641	243	306	981	497	585	332	364	431	501	682	726	505.99	376	636	1.675	0.744	4.254	2.10235085926465e-05	0.000537368399213831	0.0051	0.0388	0.0198	0.0198	TRUE	NA
FBtr0342819	100	74	66	420	184	141	52	111	93	214	253	175	149.61	85	214	2.649	1.405	4.239	2.24756957386081e-05	0.000572779580405449	0.0712	0.0695	0.0704	0.0704	TRUE	NA
