"ID","S2_DRSC_Untreated_1","S2_DRSC_Untreated_3","S2_DRSC_Untreated_4","S2_DRSC_CG8144_RNAi_1","S2_DRSC_CG8144_RNAi_3","S2_DRSC_CG8144_RNAi_4","padj","log2FoldChange","pvalue","foldChange","log10padj"
"FBtr0078841",17.2733462250802,20.4322267350723,22.3204606863495,110.628188457471,107.089817597617,109.659172050443,3.5744970595509e-10,3.53927652197921,2.28446159618514e-14,11.6259485335877,9.4467850558566
"FBtr0075942",611.530790343017,721.623885109901,529.762259250048,1111.13843708623,1114.6875085491,1105.28169777118,0.000654534339309668,1.2102472172475,4.18312992464797e-08,2.31377281718139,3.18406756380919
"FBtr0087617",190.663841462723,43.5368107835951,84.4300423100988,725.029937422602,955.584044459446,811.135260976562,0.00256869883171861,4.28610800083009,1.6416558009322e-07,19.5095419440521,2.59028681180607
"FBtr0077008",814.753825718402,610.265570529685,855.135380013609,1296.87797285115,1496.44554633581,1334.50414919746,0.00918847590273093,1.23593337808487,5.87235630007728e-07,2.35533681006843,2.03675651929139
"FBtr0306254",730.409809418255,574.271960607198,654.615371259596,1115.51528230852,1212.98272980768,1271.32788162779,1.33648850160665e-05,1.2673475248088,8.54149997831311e-10,2.4071858391512,4.87403477331617
"FBtr0302291",3725.24025798903,3282.91518774818,3414.53477697948,7463.76380547509,8707.83439352688,7247.61345879284,3.23260511057853e-16,1.68498496196845,2.06595840134117e-20,3.21537044716167,15.4904473448073
"FBtr0305917",588.813642557547,594.509641501749,700.946613477365,1083.92257634508,1050.48209963511,1028.83704429068,9.23115935141171e-05,1.07855784546974,5.89963529840334e-09,2.11192389294678,4.03474375202915
"FBtr0310643",24.5951079016757,18.4998235143897,18.5288753379925,88.8942275337557,86.9112566343017,100.254753819955,1.80983867626379e-06,3.14462258209631,1.15666816403387e-10,8.84353140166593,5.74236013514789
"FBtr0081614",161.616109504375,116.532643011947,77.7205010984989,401.984232493167,428.291552598902,531.137198629684,4.7859493551348e-05,2.79938538129644,3.05870093636787e-09,6.96143815416358,4.32003190139786
"FBtr0301838",1296.18878583545,992.622180711733,1236.13477034883,1988.92472007376,2303.37625560686,2041.85197798124,0.000253265588493249,1.21988550919911,1.61862074834313e-08,2.32928231614294,3.59642381432603
"FBtr0301837",1475.44811106022,1708.57262111378,1154.31757896138,2522.37415060693,2792.86128747286,2653.71790053084,0.00587294687813972,1.26536251774935,3.75340121310137e-07,2.4038760647133,2.23114392741094
"FBtr0087258",765.181912706617,525.878138075414,328.536627800698,2225.54332996749,2756.77901872482,2615.14306323458,2.40306168246926e-07,3.21807338138276,1.53579707449943e-11,9.30543363283917,6.61923508145901
"FBtr0076427",726.774346717517,760.499094966395,752.913534079953,1240.75237754801,1251.14240952741,1141.89950168107,1.42094470010994e-06,1.00805976591677,9.08125966709236e-11,2.01120447638768,5.84742282348311
"FBtr0346711",547.939172038852,583.791880912443,484.815601440429,996.526332923229,1035.05303283467,1003.19011233037,1.91080823999245e-08,1.31248834705588,1.22119782705468e-12,2.48369556274684,7.71878289457335
"FBtr0308232",211.28904613174,182.739543668533,190.9966567659,340.989253427316,375.573416486294,363.33633529087,0.00490905155855532,1.27786836826084,3.13737557266908e-07,2.42480438846832,2.30900240658856
"FBtr0335423",369.833999665132,344.542721252533,321.772600051289,557.483167955815,646.446261336258,570.123809109002,0.00951065360533132,1.1203521191534,6.07826011716707e-07,2.17400026941628,2.02178963580342
"FBtr0335180",643.082333157863,304.218948639124,279.178804139743,1356.39574747051,1913.96773244663,1587.33552457277,0.00268684218601539,2.86578684974292,1.71716123602952e-07,7.28933320664786,2.57075784147731
"FBtr0088663",11298.3863686793,8228.55502249802,8164.23414678287,17247.9353352533,22781.591961968,19065.8170816384,0.000310988330594186,1.57760554797886,1.98752687795862e-08,2.98474058722938,3.50725590696556
"FBtr0071537",455.2530559618,431.490295605768,450.192044813393,895.079861674763,921.776398640231,951.676918592194,6.07063064384652e-15,1.51554623856999,3.87974093682273e-19,2.85907058653036,14.2167661901577
"FBtr0081635",1978.24874952083,1595.36277356042,1807.37916141802,2779.67209085221,3149.15273709333,2998.6570760072,0.000178320905168698,1.05393421195974,1.13964916705246e-08,2.07618386329349,3.74879774001474
"FBtr0332963",75.3311335677795,85.0470406890941,77.7159832362275,206.772425371421,209.304210905026,196.927451874249,5.69271985715651e-06,1.97630272029691,3.63821809749889e-10,3.93483385457575,5.24468018760679
"FBtr0303709",12.7285365402171,12.5130648690668,12.5356283256312,85.0879423398794,101.702101974339,69.6876285702058,2.41861934082805e-08,4.05189111008898,1.5457399762434e-12,16.5859657145355,7.61643247855281
"FBtr0076454",885.555824582935,662.242553667369,824.065893089186,1776.78947245338,1889.82387400945,2044.30614005833,2.40715792350414e-12,1.82999395992719,1.53841498274694e-16,3.55535583957103,11.6184954165565
