"ID"	"S2_DRSC_CG8144_RNAi_1"	"S2_DRSC_CG8144_RNAi_3"	"S2_DRSC_CG8144_RNAi_4"	"S2_DRSC_Untreated_1"	"S2_DRSC_Untreated_3"	"S2_DRSC_Untreated_4"
"FBtr0345073"	"362.185949650862"	"369.502312477833"	"394.594357564264"	"326.242088294303"	"272.571445081446"	"378.154580838992"
"FBtr0072037"	"1540.25053444061"	"1577.57671118717"	"1571.56765706151"	"1567.69430425543"	"1674.49977433931"	"1455.77080730934"
"FBtr0081569"	"300.456668356951"	"328.655092862618"	"337.449593746625"	"325.066655062846"	"297.85200152422"	"286.416919883418"
"FBtr0076896"	"128.586667183392"	"125.03516733427"	"112.640006352777"	"108.180871803853"	"100.248618740896"	"142.733914432338"
"FBtr0333081"	"96.8942625233646"	"47.8686818974834"	"47.8631777185811"	"0"	"39.693966431388"	"35.6145036277612"
"FBtr0081004"	"68.852547789091"	"59.3092632096049"	"53.9859223697872"	"119.765981802539"	"135.536209720329"	"131.108039864392"
"FBtr0290218"	"91.651243737668"	"67.3398138203373"	"72.4676814495656"	"90.8112035585414"	"140.044358577576"	"111.819550077426"
"FBtr0300186"	"48.109311184929"	"21.3291286612799"	"21.3236944509707"	"6.55224799226698"	"35.4349581494415"	"21.3270672861715"
"FBtr0300187"	"185.668646161518"	"224.806211758707"	"198.172692712457"	"258.941042402208"	"261.889559041691"	"195.32283275735"
"FBtr0290219"	"545.306307034648"	"568.745644570992"	"573.576639959666"	"742.179447502323"	"716.727357267169"	"641.286812419821"
"FBtr0082335"	"316.441860079507"	"328.797414299219"	"349.225715470554"	"234.552847769625"	"212.411847451821"	"230.18372628238"
"FBtr0080957"	"232.378036083219"	"217.799371816202"	"235.22805395699"	"216.191895651473"	"214.123153283193"	"219.632614250693"
"FBtr0070297"	"499.939319316669"	"552.651386067555"	"442.175376575617"	"457.125649882202"	"483.927335840196"	"514.376079005511"
"FBtr0339578"	"211.310486560562"	"199.378697963831"	"317.06221999921"	"296.797588576146"	"236.77760433677"	"215.79847514789"
"FBtr0078511"	"178.134248424628"	"187.662112871399"	"204.799689506019"	"180.640786255345"	"156.800570919336"	"173.08949245364"
"FBtr0300845"	"32.1714614713043"	"21.6231563722232"	"22.6279678190849"	"10.4200150409668"	"16.5652828420659"	"24.6518634608901"
"FBtr0080686"	"55.1231044776374"	"51.4165056070019"	"53.1491739157769"	"49.422946611067"	"43.5927625730917"	"62.7075125051115"
"FBtr0072890"	"325.891647555122"	"326.234299952674"	"275.297420640745"	"295.76733691263"	"316.399481086964"	"321.764747930723"
"FBtr0081238"	"28.1691715619708"	"56.5562436979999"	"38.9510769615895"	"68.9778541884841"	"30.1500268336335"	"54.5987002366402"
"FBtr0332317"	"32.6321150606982"	"0"	"19.1918882815567"	"40.9783554109733"	"80.0943132426206"	"60.3688826135744"
"FBtr0081237"	"98.2790060196409"	"92.3146586594481"	"94.909502267145"	"95.8245871815544"	"100.107555145235"	"99.2449263586928"
"FBtr0072763"	"121.858858817355"	"128.889033554597"	"138.757555629563"	"154.185662740347"	"143.693364980648"	"149.622088884212"
"FBtr0333923"	"27.6225196197612"	"28.2493385053307"	"30.8817635860021"	"19.6767750965505"	"15.9368432239398"	"15.9407755345961"
"FBtr0072904"	"650.696793557147"	"636.513190152905"	"640.055763560518"	"728.940185634166"	"776.62790397872"	"719.874202449876"
"FBtr0072426"	"52.1446885316366"	"50.4802034129767"	"64.428387597548"	"58.5806248667633"	"49.6024637612416"	"61.8151394627084"
"FBtr0088749"	"30.6095652683912"	"8.03797501191936"	"65.0830876555697"	"14.1577136611921"	"8.03234065771119"	"8.0362073705241"
"FBtr0339279"	"20.3823152880565"	"47.9451412823981"	"0"	"20.378126016786"	"18.8143099376566"	"27.3843912091643"
"FBtr0075966"	"683.408839265607"	"703.04270054242"	"791.824871040211"	"445.251762054678"	"402.936998689339"	"402.940970432052"
"FBtr0079258"	"486.380855330934"	"471.318565153134"	"468.73680574097"	"506.320826757622"	"487.634778689856"	"587.287585261141"
"FBtr0079259"	"24.2165787595999"	"29.7230770634745"	"75.442592324972"	"79.0171870663754"	"59.2473712943519"	"29.721129043792"
"FBtr0085245"	"526.568879429167"	"602.305967355398"	"576.269603804686"	"566.436518999436"	"473.877328401592"	"564.124387178898"
