"ID","S2_DRSC_Untreated_1","S2_DRSC_Untreated_3","S2_DRSC_Untreated_4","S2_DRSC_CG8144_RNAi_1","S2_DRSC_CG8144_RNAi_3","S2_DRSC_CG8144_RNAi_4","padj","log2FoldChange","pvalue","foldChange","log10padj"
"FBtr0306255",1047.95674229519,1170.78115504494,1051.74602709199,592.266644923156,557.970754238697,516.826212957277,2.14535414582353e-10,-1.40383711096308,1.37109614994793e-14,0.377922649433948,9.66850100609854
"FBtr0075753",3546.5885529129,4077.72850797449,3262.29464959164,1194.00431596399,1190.02125537603,1065.00311418581,1.4548591608042e-30,-2.39263602123143,9.29800703524129e-35,0.190434131192989,29.8371790469847
"FBtr0332148",1348.72930455936,1323.62753301656,1293.27475714017,775.502083130987,772.830742598228,887.417416915508,1.18080267645042e-05,-1.01440877852367,7.54651164089231e-10,0.495031152144247,4.9278226711322
"FBtr0075927",881.927329375859,925.131580316449,912.518532855342,405.536513201264,400.962871433602,373.145449246931,5.69504790011663e-19,-1.73998538684074,3.63970595009691e-23,0.299372708506538,18.2445026187896
"FBtr0111030",1773.24016790697,1821.05058934044,1436.88836308765,203.263583061849,351.328750543079,366.500689588778,2.33817281374565e-15,-3.53622078274809,1.49432658895996e-19,0.0861968654727077,14.6311233933955
"FBtr0302692",1528.51791335616,1388.58731979106,1332.75510528203,311.316754894327,581.454871530025,438.07913985902,4.29121985632679e-07,-2.41741556228537,2.74251924095788e-11,0.187191189395759,6.367419234257
"FBtr0111029",523.248209774894,484.860494960151,422.87383473009,211.116333828188,232.878430855112,276.331318110984,0.00754100740846544,-1.43160150547624,4.81945894322582e-07,0.370719136628174,2.12257063255032
"FBtr0302694",1360.49956373582,1437.32516077014,1306.53307909897,423.646893758986,482.58192755546,392.29050029722,6.58486909273185e-31,-2.39597833880695,4.20839080509481e-35,0.189993459665605,30.1814528543953
"FBtr0087257",3057.78722889402,3352.81260812595,3422.95432721354,1832.37807054574,1488.84202886146,1501.85602046919,1.59397597620008e-10,-1.48266299012832,1.01871028069283e-14,0.357827707880931,9.7975182284119
"FBtr0302645",893.25987835567,1245.10510806487,769.265227368722,479.042273293098,402.440429882841,405.174391054715,0.00434262992849404,-1.69940452999069,2.77537542563689e-07,0.307913167766029,2.36224717889494
"FBtr0345896",59.6068926162665,52.8904101339318,54.8318675795363,1.06339886360991,6.71903676399978,6.69458327415579,7.87828681238566e-08,-5.25508262071876,5.03501425984896e-12,0.0261855983102546,7.10356821256355
"FBtr0085094",50479.0154396471,57730.7224599901,66703.1308690819,20996.3261563535,11237.6842669609,12167.3295763038,2.04624509482704e-07,-2.85366353022917,1.30775554088773e-11,0.138344430487552,6.68904234865128
"FBtr0082139",267.8009788721,267.155091382472,239.562904177113,61.154405296047,42.2100665653418,100.224613034696,0.0032306891395119,-2.7879355821996,2.06473390395085e-07,0.144793065787597,2.49070482826821
"FBtr0303787",734.314547543743,890.779711842074,615.41436017409,311.446529849558,301.835062465963,306.650531709333,3.72551574596926e-07,-1.85435121773192,2.38097766087381e-11,0.276557003496927,6.42881359670792
"FBtr0310055",195.813840145558,165.109694003117,180.485198789525,36.9842056940511,58.5529238915366,49.9492946508075,1.45379839691985e-06,-2.74230145065429,9.29122769169712e-11,0.149446244590726,5.83749581436814
